"","treatment","longevity","S","I","R","avgS","avgI","avgR","maxI","tmaxI","quality0"
"event.times2024","+high",120,0.08,0.37,0.55,0.0822772277227723,0.353168316831683,0.564554455445545,0.59,"110.628609645432",1.76154930265765
"event.times2025","+low",120,0.21,0.17,0.62,0.30039603960396,0.19039603960396,0.509207920792079,0.35,"170.96646214922",0.489214405784749
"event.times2026","full",120,0,0,1,0.0120792079207921,0.160990099009901,0.826930693069307,0.47,"39.9469034243755",1.7282073813373
"event.times2027","low.var",120,0.09,0.46,0.45,0.0888118811881188,0.46,0.451188118811881,0.51,"147.949133677233",0.759461995713753
"event.times2028","+high",120,0.06,0.47,0.47,0.134653465346535,0.405049504950495,0.46029702970297,0.58,"60.108034279825",1.48298552056687
"event.times2029","+low",120,0.45,0.09,0.46,0.388019801980198,0.125841584158416,0.486138613861386,0.35,"95.2067459555123",0.919756096701573
"event.times2030","full",120,0.18,0.24,0.58,0.157920792079208,0.315148514851485,0.526930693069307,0.48,"70.8058619111559",1.51646365804816
"event.times2031","low.var",120,0,0.26,0.74,0,0.242178217821782,0.757821782178218,0.44,"76.1242529930164",1.05762559137826
"event.times2032","+high",120,0,0.41,0.59,0,0.392772277227723,0.607227722772277,0.63,"103.84934506775",1.05473856436985
"event.times2033","+low",120,0.11,0.2,0.69,0.138811881188119,0.166732673267327,0.694455445544554,0.34,"80.6778521289383",0.61901462107673
"event.times2034","full",120,0.22,0.26,0.52,0.206534653465347,0.30019801980198,0.493267326732673,0.48,"142.33541991897",1.4584432422198
"event.times2035","low.var",120,0.28,0.24,0.48,0.316237623762376,0.258118811881188,0.425643564356436,0.44,"51.923522885224",0.994057448661153
"event.times2036","+high",120,0,0.36,0.64,0,0.393069306930693,0.606930693069307,0.59,"44.8967283669544",0.822832280459106
"event.times2037","+low",120,0.18,0.24,0.58,0.194950495049505,0.146138613861386,0.658910891089109,0.37,"181.525437860917",0.602143534978817
"event.times2038","full",120,0.12,0.29,0.59,0.151188118811881,0.242475247524752,0.606336633663366,0.45,"132.406130129625",1.22310582947424
"event.times2039","low.var",120,0.32,0.36,0.32,0.251386138613861,0.265841584158416,0.482772277227723,0.47,"87.3090659447155",0.894866324693605
"event.times2040","+high",120,0,0.42,0.58,0,0.371881188118812,0.628118811881188,0.56,"82.0575147348077",1.16002303712147
"event.times2041","+low",120,0.79,0,0.21,0.774554455445545,0,0.225445544554455,0.02,"3.12000479872541",0.454522911342588
